                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.74045,                0.78218,                 1.1571,                0.80812,                0.43454,                0.53683,                0.38784,                    nan,                    nan,                    nan,             0.00073579,             0.00073579,             0.00073579
                     51,                0.77074,                 0.7806,                 1.1705,                0.66766,                0.48718,                0.52282,                0.36629,                    nan,                    nan,                    nan,             0.00072164,             0.00072164,             0.00072164
                     52,                0.75361,                0.70749,                 1.1295,                0.65656,                 0.4454,                0.49737,                0.34014,                    nan,                    nan,                    nan,              0.0007075,              0.0007075,              0.0007075
                     53,                0.74625,                0.74873,                 1.1533,                 0.6211,                0.37367,                0.44519,                0.29575,                    nan,                    nan,                    nan,             0.00069335,             0.00069335,             0.00069335
                     54,                0.72695,                0.71966,                 1.1412,                0.69769,                0.43986,                0.50859,                0.37139,                    nan,                    nan,                    nan,              0.0006792,              0.0006792,              0.0006792
                     55,                0.73913,                0.72549,                  1.157,                0.74213,                0.41709,                0.52603,                0.40359,                    nan,                    nan,                    nan,             0.00066506,             0.00066506,             0.00066506
                     56,                0.73865,                0.68889,                 1.1416,                0.75152,                0.51176,                 0.5425,                 0.4078,                    nan,                    nan,                    nan,             0.00065091,             0.00065091,             0.00065091
                     57,                0.74343,                0.75819,                 1.1498,                0.66857,                0.49886,                0.55581,                 0.4366,                    nan,                    nan,                    nan,             0.00063676,             0.00063676,             0.00063676
                     58,                0.73613,                0.72856,                 1.1433,                0.48162,                0.43617,                0.46716,                0.36663,                    nan,                    nan,                    nan,             0.00062262,             0.00062262,             0.00062262
                     59,                0.67741,                0.66302,                 1.1118,                0.53956,                0.36526,                0.45403,                0.35645,                    nan,                    nan,                    nan,             0.00060847,             0.00060847,             0.00060847
                     60,                0.70849,                0.71667,                 1.1123,                0.46876,                0.42051,                0.46295,                0.35841,                    nan,                    nan,                    nan,             0.00059432,             0.00059432,             0.00059432
                     61,                  0.703,                0.70634,                 1.1159,                0.56183,                0.43811,                0.44483,                0.33154,                    nan,                    nan,                    nan,             0.00058017,             0.00058017,             0.00058017
                     62,                0.69778,                0.67619,                 1.1227,                0.52757,                0.47179,                 0.4903,                0.37189,                    nan,                    nan,                    nan,             0.00056603,             0.00056603,             0.00056603
                     63,                0.67953,                0.67289,                 1.1117,                0.51147,                0.47179,                0.49158,                0.37681,                    nan,                    nan,                    nan,             0.00055188,             0.00055188,             0.00055188
                     64,                0.68306,                0.65706,                 1.1287,                0.58864,                0.39487,                0.48017,                0.35822,                    nan,                    nan,                    nan,             0.00053773,             0.00053773,             0.00053773
                     65,                0.67509,                 0.6482,                 1.1351,                0.57775,                0.60171,                0.57058,                0.40984,                    nan,                    nan,                    nan,             0.00052359,             0.00052359,             0.00052359
                     66,                0.70749,                0.64903,                 1.1429,                 0.6128,                0.54642,                0.57217,                0.42172,                    nan,                    nan,                    nan,             0.00050944,             0.00050944,             0.00050944
                     67,                0.65911,                0.60116,                 1.0741,                0.82062,                0.43443,                0.51784,                0.39259,                    nan,                    nan,                    nan,             0.00049529,             0.00049529,             0.00049529
                     68,                0.65865,                0.61855,                 1.0984,                0.69381,                0.46952,                0.51391,                0.39891,                    nan,                    nan,                    nan,             0.00048114,             0.00048114,             0.00048114
                     69,                 0.6694,                0.62164,                 1.1189,                 0.6246,                0.47652,                0.49605,                0.39752,                    nan,                    nan,                    nan,               0.000467,               0.000467,               0.000467
                     70,                0.68102,                 0.6566,                 1.1266,                0.73581,                0.51282,                0.54489,                0.42005,                    nan,                    nan,                    nan,             0.00045285,             0.00045285,             0.00045285
                     71,                0.63417,                0.59314,                  1.085,                0.90208,                0.52692,                0.60066,                0.41089,                    nan,                    nan,                    nan,              0.0004387,              0.0004387,              0.0004387
                     72,                0.67873,                0.66761,                 1.1175,                0.75454,                0.49014,                0.52752,                0.35975,                    nan,                    nan,                    nan,             0.00042456,             0.00042456,             0.00042456
